Actual,Predicted
1,1.16
0,0.0
4178,4098.7
1128,1036.23
0,0.63
0,1.67
3554,3413.08
3822,3789.53
777,803.92
1291,1108.19
0,0.0
13,10.96
1119,1462.69
1155,1309.06
3955,3923.82
2708,2524.03
1864,2253.0
1792,1904.4
1089,970.39
1960,1873.47
3380,3347.32
1509,1671.5
856,894.27
3886,3883.46
2690,3015.52
3072,2770.6
1042,1150.37
0,0.1
52,43.49
3003,2636.22
2072,2108.29
1,0.65
228,223.43
212,185.7
769,749.73
1,1.05
3056,2972.63
1246,1499.38
0,0.16
2385,2050.06
3882,3605.74
38,43.15
1,1.34
1265,1251.04
3,22.95
3447,2846.18
1,1.14
3609,3697.32
2,2.93
2148,2515.23
1,1.0
1598,1678.27
2822,2738.37
1,1.19
76,69.1
2390,2590.55
2839,2822.66
0,0.33
892,835.06
873,772.62
1786,1819.35
3306,3430.25
1807,1407.85
2,5.64
3539,3613.4
2543,2361.99
1838,1891.02
3180,3018.3
2693,2134.26
919,714.49
1086,1120.88
303,257.59
3592,3392.78
2268,2032.57
0,0.0
1,0.75
2835,2755.65
2062,1796.97
844,814.74
7,12.05
2538,2459.87
2346,2628.67
1,0.99
1,1.2
168,173.37
2234,2238.62
489,598.11
268,350.25
2839,2072.84
0,0.0
1157,1320.14
2242,2059.95
1416,1407.62
1864,1879.73
1800,1765.73
3569,3628.49
358,490.18
3955,3395.66
4280,4260.9
936,938.79
3,2.98
2206,1633.64
251,186.06
1620,1729.39
0,0.03
1027,999.76
1985,2066.68
1,1.1
0,0.83
320,374.55
0,0.89
0,0.02
0,0.56
0,0.57
2221,2407.76
1476,1844.0
0,0.08
3318,3225.33
3,1.53
1889,1794.62
2236,2194.66
17,79.74
0,0.19
0,0.0
597,870.75
2995,2925.1
1418,1542.5
626,1048.99
1850,1713.25
1,1.45
1352,1443.75
2394,2819.8
1,0.65
1935,1951.92
4464,4311.88
4134,3805.68
0,0.6
0,1.9
33,33.83
2642,2653.26
3675,3629.63
0,0.23
1301,1186.51
3390,3396.76
344,893.24
466,339.62
2331,2122.42
171,225.5
27,32.14
1920,2376.64
1,1.1
3499,3601.3
0,0.05
0,0.16
812,635.7
3083,2541.09
1491,1458.61
2948,2966.52
2688,3246.83
0,0.0
2335,2380.67
3,0.65
185,179.67
0,2.21
3389,3140.96
1838,1725.49
528,454.63
