timestamp,Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName,GHI,DNI,Wind_Speed_2m,Wind_Direction_2m,Temp_2m,RH_2m,Pressure,wind_speed_50m,wind_direction_50m,temp_50m,density_VT,pressure_VT,ri_number,rh_50m,rmol_VT
7/12/2020 13:00,2020-07-12 13:00:00+02:00,7/12/2020,13:00:00,14:00:00,Solar,3609,194,Sunday,July,949,927,2.4,15,27.4,32.35,985,7.2,21,19.9,1.12,943,-0.94,56.2,-0.0112
10/16/2020 6:00,2020-10-16 06:00:00+02:00,10/16/2020,6:00:00,7:00:00,Solar,0,290,Friday,October,0,0,4.2,339,7,93.72,979,18.1,4,4.7,1.17,933.4,0.06,92.1,0.0007
7/28/2020 22:00,2020-07-28 22:00:00+02:00,7/28/2020,22:00:00,23:00:00,Wind,2832,210,Tuesday,July,0,0,2.3,3,22.3,69.99,983,5.6,337,23.8,1.1,939.6,1.16,80.4,0.0118
7/12/2020 15:00,2020-07-12 15:00:00+02:00,7/12/2020,15:00:00,16:00:00,Solar,3414,194,Sunday,July,772,886,2.2,14,27.7,31.29,985,7.1,29,20.8,1.12,942.5,-0.84,53.8,-0.0102
6/23/2020 9:00,2020-06-23 09:00:00+02:00,6/23/2020,9:00:00,10:00:00,Solar,2159,175,Tuesday,June,700,834,2,349,23.5,57.84,986,3.8,72,13.4,1.04,859,-3.86,86,-0.0243
10/16/2020 10:00,2020-10-16 10:00:00+02:00,10/16/2020,10:00:00,11:00:00,Solar,1281,290,Friday,October,27,0,5.1,354,10.2,79.21,980,20.9,0,4.4,1.17,932.6,0.06,92.7,0.0005
10/16/2020 10:00,2020-10-16 10:00:00+02:00,10/16/2020,10:00:00,11:00:00,Solar,1281,290,Friday,October,27,0,5.1,354,10.2,79.21,980,17.3,8,5.9,1.17,934.5,-0.01,88.6,-0.0004
7/29/2020 7:00,2020-07-29 07:00:00+02:00,7/29/2020,7:00:00,8:00:00,Wind,1045,211,Wednesday,July,286,573,2.4,350,22.4,55.06,984,11.4,358,19.3,1.12,940.4,0.13,65.6,0.0001
7/12/2020 18:00,2020-07-12 18:00:00+02:00,7/12/2020,18:00:00,19:00:00,Solar,1809,194,Sunday,July,265,635,1.7,19,24.9,37.97,984,8.1,27,20.8,1.12,942,-0.06,54.9,-0.0022
6/23/2020 19:00,2020-06-23 19:00:00+02:00,6/23/2020,19:00:00,20:00:00,Solar,1034,175,Tuesday,June,104,397,0.8,53,24.3,68.72,983,3.2,88,16.4,1.03,858.5,-7.93,88.8,-0.0169
